userName,score,content,at,thumbsUpCount,source,category
Lio B10,1,3 package never received arrived wrong city no one answered 4 mail sent back no refund aliexpress take no responsibility never order,2026-03-11 21:57:21,0,ali-express_reviews,delivery_shipping
Adina L,5,many item see different vendor sure read product review use common sense find great item thing not work like expected customer service help amazing,2026-03-11 21:55:53,1,ali-express_reviews,customer_service
Marcie Graham,1,never got stuff lied mailing source done trust lost money temp better,2026-03-11 21:53:27,0,ali-express_reviews,scam_trust
Dontae Hufflin,5,awesome service never single issue send advertised every single time cant beat price product temp wish nothing aliexpress,2026-03-11 21:14:59,0,ali-express_reviews,pricing_discount
Jo Carbonell,1,order window tint two week ago still nothing guess delivery person wanted package decided not fill order keep moneywhy think thing cheap advertisingthey keep money,2026-03-11 17:23:22,0,ali-express_reviews,delivery_shipping
Ammar M.Ahmad,5,nice app,2026-03-11 16:56:04,0,ali-express_reviews,app_usability
Bridgette Schram,1,horrible business avoid cost missing item order refused refund asked prove never received use temp faster shipping reliable excellent customer service,2026-03-11 16:39:01,1,ali-express_reviews,delivery_shipping
Nicole Trammell,5,fun,2026-03-11 15:29:00,0,ali-express_reviews,other
tjan putri,1,honestly haven experience app could n't use live indonesia downloaded shopping app saw cute bag app opened need choose country region live right searched country indonesia saw neighbouring country malaysia could n't experience full shopping experience hope could add indonesia app please,2026-03-11 15:12:44,1,ali-express_reviews,app_usability
Matas Matas,5,good app im not going lie found garbage item could explode easily,2026-03-11 13:54:08,0,ali-express_reviews,app_usability
D Bier,1,absolute garbage dint suggest app make purchase 50 stolen lose money time sanity no customer service there even less low quality item tried get refund stolen package 5 time said prove one prove shook person hand met app stupid pointless go temp,2026-03-11 13:52:46,0,ali-express_reviews,delivery_shipping
CATCH22,3,seller polite helpful use chat bot item not sent cant get satisfactory answer,2026-03-11 13:23:47,1,ali-express_reviews,other
J,5,really good app product come good shape affordable price,2026-03-11 12:05:12,0,ali-express_reviews,pricing_discount
Sara J,1,no register account,2026-03-11 11:22:59,0,ali-express_reviews,other
Coems,1,ordered charger waited 10 day arrived county order unsucesfull,2026-03-11 08:54:13,1,ali-express_reviews,other
Benjamin Brewer,4,like app good,2026-03-11 08:53:13,0,ali-express_reviews,app_usability
Jaco van As,1,hesitant start trusted gut aliexpress scam wait ever get product robbed not giving way ordered complain put provide solid proof say still not enough proof lost money scam reporting play store well,2026-03-11 08:42:40,1,ali-express_reviews,scam_trust
philip paranthoiene,4,nb never give 5 star anything 4 star maximum issue delivery got country disappearedali express prompt courteous deal eventually refunded full amount purchased item,2026-03-11 08:06:57,0,ali-express_reviews,delivery_shipping
Alex,1,not buy shop doe n't allow use real name customer service even email ai go circle done want buy fine that,2026-03-11 07:43:39,1,ali-express_reviews,customer_service
Alex likes dogs,1,slow show gross image no matter look thing like infection sexual image item say delivered didst get done get refund page refreshes every time try get one cant also thing like swastika l0li customer service doe n't help take 50 picture item return even didst get item literally no way get refund not install,2026-03-11 06:46:07,12,ali-express_reviews,refund_return
Ronnie,1,full scammer constantly spamming email push notification dog,2026-03-11 04:56:46,1,ali-express_reviews,ads_promotions
Ethel Reid,1,not letting pick want,2026-03-11 04:43:07,0,ali-express_reviews,other
Kimberly Dumas,1,sell credit card number,2026-03-11 04:25:58,0,ali-express_reviews,other
Tammy Skifstad,5,useful,2026-03-11 03:40:25,0,ali-express_reviews,other
Craig Maybury,1,app crashing constantly cant access play farm area,2026-03-11 02:53:35,0,ali-express_reviews,app_usability
King Cardigan,4,terrible experience z fold samsung device app cool fold well say confusing confusing can not describe except look like two aliexpress apps running side side done know one use annoying,2026-03-11 02:26:43,0,ali-express_reviews,app_usability
Rob G,1,terrible customer service impossible get money back faulty product shipped,2026-03-11 02:20:19,1,ali-express_reviews,product_quality
Dirty South 316,1,absolute joked not use website absolute joke,2026-03-11 00:23:02,1,ali-express_reviews,other
Hassan Jones,1,not deliver package asked refund replacement ignored never received anything back regarding situation,2026-03-10 23:58:35,1,ali-express_reviews,delivery_shipping
Kevin Mcmahon,4,excellent,2026-03-10 23:47:10,0,ali-express_reviews,other
Matt Schellhaas,5,lalalaley try aliexpress they not freaking scammer trust aliexpress good,2026-03-10 23:33:59,0,ali-express_reviews,scam_trust
Ti to,5,شكرا لجهودكم,2026-03-10 23:33:12,0,ali-express_reviews,other
Eric Laforge,1,always get scammed always find way,2026-03-10 23:15:15,198,ali-express_reviews,other
Zack,1,signed instantly started spamming uninstalled,2026-03-10 21:40:26,1,ali-express_reviews,other
Promise Abumere,1,scammed aliexpress seller accept partial refund defective item yet aliexpress refused no refund complete cd screen purchase fame doe n't fit pouch doe n't touch well followed instruction fix not case complaining overheating frame side heat sink frame small unlike original screen part not touch try another screen different screen order worked,2026-03-10 20:18:45,1,ali-express_reviews,refund_return
Sonia Ikie,1,awful scammer transaction history lost paying good,2026-03-10 19:19:07,1,ali-express_reviews,other
Atif Ahmed,5,good,2026-03-10 17:21:46,0,ali-express_reviews,other
Mike M,2,advertising one thing sending another still waiting customer service get back order,2026-03-10 16:17:36,1,ali-express_reviews,customer_service
Keno Ken,1,worst customer service world keep repeating answer ignoring customer completely also allow many counterfeit fraudulent item like 2tb thumb drive 5 done refuse take obvious scam seem encourage zero care user,2026-03-10 15:46:49,1,ali-express_reviews,product_quality
Enrique El Sato de Hato Rey,2,prefer website app buggy doe n't offer much,2026-03-10 13:31:02,1,ali-express_reviews,app_usability
GTepanator,1,app kept sending one star trouble,2026-03-10 12:59:45,1,ali-express_reviews,app_usability
Evarest Natse,1,ali express worst live following refund 4 month till today never gotten money back app full scammer want money done buy anything ali express,2026-03-10 12:19:25,1,ali-express_reviews,refund_return
Patryk,4,na strong z punktami pokazują się lose uniżki którich nice da się ziskać mono utrudnia zappy edit okaył się że procentowa uniżka book product uwzględina też upon uniżkory nice talk punk naval unaż że nice powinno take ć bo jest iona punk book uniżki,2026-03-10 12:11:14,0,ali-express_reviews,other
Phil,1,trying get simple refund something clearly not going delivered ordered long time ago instead simply refunding money less 3 getting big runaround stupid little bot not refund money least think wont time im finished aliexpress there going wish refunded,2026-03-10 11:37:23,1,ali-express_reviews,refund_return
Russell Perkins,1,disgusting treatment false advertising pair product sold never received claiming one item live got evidence advert order receipt delayed delayed delayed im still fighting refund 2 month line never treated like company seller watch avoider seller total scam ali express enabling many like withholding refund admission negligence,2026-03-10 10:50:39,1,ali-express_reviews,refund_return
Anthoz Duppiez,4,love app,2026-03-10 09:31:45,0,ali-express_reviews,app_usability
Kyri J,1,long term loyal customer clear seller aliexpress work together customer problem arisemisleading advert documented verbal abuse seller legitimately complaining aliexpress really not care act even appealswhen order something probability success return low problem shipping often not coveredcontact support help automated waste time endless loop,2026-03-10 09:12:56,1,ali-express_reviews,delivery_shipping
Misty Vanhorn,5,fast delivery good price item product look good,2026-03-10 07:58:37,0,ali-express_reviews,delivery_shipping
Johan Spruyt,1,not recommend aliexpress ordered item never received tracking appears item never sent no item no refund say item local custom yet contacting custom find nothing supplied tracking number shop risk,2026-03-10 06:37:24,1,ali-express_reviews,delivery_shipping
Xzaevory Gonzalez,3,,2026-03-10 06:16:52,1,ali-express_reviews,other
David GIlmore,5,excellent,2026-03-10 06:11:11,0,ali-express_reviews,other
Angela Stern,1,garbage no comment,2026-03-10 06:11:01,1,ali-express_reviews,other
S LMK,1,really sick constant pop ups ad let purchase peace offs unable turn constant promotional message store flood message center impossible find important message user experience could not possibly frustrating not want play stupid mobile game coin absolute masterclass userhostile hateful design,2026-03-10 05:43:29,3,ali-express_reviews,ads_promotions
Tia Cummings,5,great app love,2026-03-10 04:53:59,0,ali-express_reviews,app_usability
Katelyn Selvaggio,2,bought pair earbuds charger completely broken done work also bought stuff arrived broken unusable,2026-03-10 02:58:21,2,ali-express_reviews,product_quality
Holly Benitez,5,purchased set ear bud 99 live happy im going try make another purchase another great item,2026-03-10 02:35:23,0,ali-express_reviews,other
Kinsley,5,love,2026-03-10 01:40:24,0,ali-express_reviews,other
Meyola chudasama,1,order stuff 1st time customer never received tried get refund also impossible well never use app shop,2026-03-10 01:16:48,1,ali-express_reviews,refund_return
Michael M,1,horrible app customer service,2026-03-10 01:08:04,1,ali-express_reviews,app_usability
Gerri Cooper,1,live enough purchasing thing item come totally different purchased not coming get refund without even let know not coming im not shopping anymore seller crook false advertising straight not good platform buy thing give one star there no less one,2026-03-10 00:51:45,1,ali-express_reviews,refund_return
Angie,1,price not honest add cart select shipping price become higher careful dishonest marketing tell one cheap price charge purchase item,2026-03-09 23:47:09,1,ali-express_reviews,delivery_shipping
Benjamin Van Dermark,1,3 item welcome gift get 3 pay 1 got cancelled late done get thing ordered lost welcome deal,2026-03-09 23:32:33,1,ali-express_reviews,pricing_discount
trish Pyles,1,not load,2026-03-09 23:21:46,1,ali-express_reviews,other
--,1,im not registered google email address forcing useless pc cant sign anymore cant write email address aliexpress reading google play email violating apr,2026-03-09 22:52:26,1,ali-express_reviews,ads_promotions
Mark -,1,cant upload video app requesting refund,2026-03-09 21:28:32,1,ali-express_reviews,refund_return
porscha foster,1,talk false advertisement downloaded prove ps5 advertise ad 1 said yeah right downloaded 90016k plus 4065 shipping fee im sure grab ps5 around 500 shop no shipping,2026-03-09 20:28:00,1,ali-express_reviews,delivery_shipping
Emmanuel,2,login keep logging they 've temporarily suspended account,2026-03-09 20:06:16,1,ali-express_reviews,app_usability
Eric Malcomb,1,nightmare deal placed order saw shipped colorado tried track said didst order even though confirmed paypal first email got back said found order able track want contact customer service tell order doe n't exist account use different one ever one account wont give refund,2026-03-09 18:29:16,1,ali-express_reviews,refund_return
I love Fnaf,5,ι αм ηєω нєяє αη ѕσяяу ι υѕє тнιѕ ƒσηт ι αм 9 уєαяѕ σℓ αη ι ƒιη тнιѕ νєяу σηƒυѕιηg вυт ι ℓσνє ιт ιтѕ ƒυη ωнєяє уσυ gєт αρρѕ,2026-03-09 18:15:45,0,ali-express_reviews,other
Sissie Payne,1,bad customer service,2026-03-09 16:56:06,1,ali-express_reviews,customer_service
Luna,1,item missing order trouble getting money back,2026-03-09 16:33:13,1,ali-express_reviews,other
kourtly dentley,1,done order water time never came win order price went,2026-03-09 15:51:48,1,ali-express_reviews,pricing_discount
A Mamun,1,full fraud scam seller messaging never comfortable always mixed promotional message,2026-03-09 15:39:22,1,ali-express_reviews,scam_trust
Stefan Flavius Chiper,5,cupăraț cu încredere profusely sun de capitate îsaltă ș chair sun forte june indifferent de fatal că sun produce în china nu abut niciodată problem cu cupărăturtle ba chair print niște operate forte avantajoase la produce de la brandi popular,2026-03-09 15:26:03,0,ali-express_reviews,other
adamebrahiem 6,1,terrible keep saying account freezing account risk registration,2026-03-09 15:16:40,0,ali-express_reviews,other
Captain Traveler,1,worst company ever see court,2026-03-09 14:48:05,0,ali-express_reviews,other
Dokiware,1,shipping fee way ridiculous,2026-03-09 14:26:16,0,ali-express_reviews,delivery_shipping
Kelly Baker,3,hi problem app live updated also uninstall reinstalled wont let free gift say keep saying doe n't support viewing local supermarket item please update app latest version done please sort,2026-03-09 13:48:51,0,ali-express_reviews,app_usability
Sal,5,thank,2026-03-09 13:29:35,0,ali-express_reviews,other
Tracey Grimm,5,far always receive delivery earlier stated never problem,2026-03-09 12:34:17,0,ali-express_reviews,delivery_shipping
Chris Smith,1,uninstalled 12 form payment could n't go,2026-03-09 09:57:23,0,ali-express_reviews,other
Hard Catz,1,worst experience try purchase apostle transaction key payed split tabbythe big big problem delivery waiting almost month chat courier no codethey mark delivered done received anything try contact sellerand ask arefundthey refusethey said show deliveredthe big question purchase february 7 paid february 7 tracking number bought january 28 come,2026-03-09 08:34:06,0,ali-express_reviews,delivery_shipping
Steven Brookshire,2,item purchased came expected great price not get two free item first time buyer never came deleted cart promise never fulfilled unsatisfied main reason even started needed item going get bag also liked,2026-03-09 08:32:36,0,ali-express_reviews,pricing_discount
W. Simmons,5,many cool gift,2026-03-09 08:25:34,0,ali-express_reviews,other
Liam Schrape,1,buyer beware bought lego style brick building kit son time purchase finally started working quality poor even adult assistance toy would fall apart slightest movement even trying add next piece model aliexpress seller mi ya toyneither take responsibility make goodwill refund credit moral story check purchase quality quickly receive,2026-03-09 07:04:42,0,ali-express_reviews,refund_return
Eric Thomas,5,great app easy use discount applied automatically fast shipping local store even faster delivery,2026-03-09 05:17:33,0,ali-express_reviews,delivery_shipping
Victor S,3,year usage live noticed something different purchase buying something high rating later open item already bought realize another store item low rating obviously another store owned person like buy something average rating 49 star one store later see purchased another store 41 rating,2026-03-09 05:11:23,8,ali-express_reviews,other
Shermonia Dobbs,5,wait package offer discount play game add order,2026-03-09 04:43:07,0,ali-express_reviews,delivery_shipping
Kevin Rankin,1,taken money 2 occasion never delivered item not provide refund customer service worst send lengthy pasted message no relevance response go back pathetic customer service wrote,2026-03-09 04:12:30,0,ali-express_reviews,refund_return
Davis Ron,5,good app,2026-03-09 03:54:02,0,ali-express_reviews,app_usability
SHaina Callaway,5,by flow 67 since,2026-03-09 03:42:08,0,ali-express_reviews,other
frank quru,1,repetitive irrelevant response never address raised issue directly 2 month since placed order still keep telling transit arrived country 40 day ago see reply stupid still wanting repeat issue see ridiculous response,2026-03-09 03:10:22,1,ali-express_reviews,customer_service
Diane,1,mostly everything bought cheap flimsy junk especially clothing new site bought lot stuff wish haunt could found nicer stuff thrown away dumpster several item never even received complained ignored no customer service phone number tried cancel couple order immediately ordered sent anyway charged despite effort put customer service,2026-03-09 03:00:26,0,ali-express_reviews,refund_return
Travis Campbell,2,good,2026-03-09 02:27:46,0,ali-express_reviews,other
Trisna Di Japan,1,scam order not sent maybe free,2026-03-08 23:13:33,0,ali-express_reviews,scam_trust
Abba abdullahi,5,god app,2026-03-08 22:25:24,0,ali-express_reviews,app_usability
sathish malamkunnu,1,price good temp better aliexpress,2026-03-08 21:31:38,1,ali-express_reviews,pricing_discount
Rick Hess,5,far everything ordered fine order thing need,2026-03-08 19:14:09,0,ali-express_reviews,other
Bertha Mata,5,love continue order update haven purchased anything year someone used info purchased 200 dollar worth stuff uninstalled app miss ali,2026-03-08 19:08:19,0,ali-express_reviews,app_usability
Lion Soldier,3,title great app impossible pay ghana really want use app give 5 star forced give 3 star payment method ghana u not bank account international card use man mobile money mono everything million u ready buy stuck checkout add man mono app 1 choice ghana please help u shop adding local mobile money option,2026-03-08 19:03:02,0,ali-express_reviews,app_usability
Colin Crowley,1,shortest app service ask photo bank card id illegal au closed,2026-03-08 16:37:29,1,ali-express_reviews,app_usability
Victor Hugo,1,minna costa está dandy problem de seuratç na hora de apical coupon torque ó para apical coupon que á error de seuratç david que se fosse una compar else ira day memo bloqueio,2026-03-08 15:49:28,0,ali-express_reviews,app_usability
CRO stress,1,support total joke suggest use app one edit trying contact support 2 open case getting robotic answer 20 time nobody read anything total joke avoid aliexpress,2026-03-08 14:39:18,0,ali-express_reviews,app_usability
Marky B,1,done expect refund avoid robbed customer service ai sends repetitive reply complaint avoid sent link doe n't work reply late deleted app warn others not install,2026-03-08 14:32:21,0,ali-express_reviews,refund_return
Herby Osbourne,1,horrible customer service locked account wont give reason help get back,2026-03-08 13:09:19,0,ali-express_reviews,customer_service
S Marie,1,twice never received item never given refund courier never presented proof delivery time said item delivered hit miss good luck im 70 buck told needed provide proof never received item wheres delivery proof picture scam artist edit contacted aliexpress help center everyday almost 3 week spent hour wasting time no ill never buy anything ever please done waste time money people,2026-03-08 12:52:49,0,ali-express_reviews,delivery_shipping
Ben Hunt,1,done honor fast ship program get run around spend extra dollar get tic to shop,2026-03-08 12:35:23,0,ali-express_reviews,delivery_shipping
roger whittle,4,positive overall sometimes confusing,2026-03-08 11:19:38,0,ali-express_reviews,other
Philip Brady,5,really positive 95 the vendor,2026-03-08 10:33:57,0,ali-express_reviews,other
Ben P,1,using number time last order came broken transit packaging insufficient aliexpress made jump hoop hoop film photo reasonable amount application asked unreasonable long video photo package opened time date stamped showed opening finding broken item not honour refund policy wont using scammer avoid,2026-03-08 10:17:58,1,ali-express_reviews,delivery_shipping
Fractal Codex,1,no way view complete order individual item joke,2026-03-08 08:14:27,0,ali-express_reviews,other
Karel Zegers,3,mostly good advertising behaviour seller pretty bad advertising product price actually ordered change much higher cost example mitutoyo dogmatic vernier memory card seller others no response query request explanation shady behaviour not well dealt aliexpress complained disappointing otherwise good site,2026-03-08 07:27:35,0,ali-express_reviews,pricing_discount
De P,1,consistently got pop saying error order could not completed contacting customer service not help kept getting sent circle,2026-03-08 06:01:26,1,ali-express_reviews,app_usability
Gorebox gaming yt,5,cheap almost item free shipping tho shipping time could faster,2026-03-08 05:43:35,0,ali-express_reviews,delivery_shipping
a7med_fix,1,take item returned refund unfortunately first take item refuse refund cheating unfortunately bad customer service money 1050 u dollar gone not give life,2026-03-08 05:00:26,0,ali-express_reviews,refund_return
Yamileth Vides,1,my may experience con est app no te permit hacker kingún return ni unique el client tonga la rayón yo order do vested de quinceñera environ also totalmente different lo que free yo le envied foot pruebas de lo que estate diciendo ni an a iron la autorización para revolver los vested a que too quedarme con elli solo margate mi diner en est app mi calificación para alixpress e de cero,2026-03-08 04:36:45,0,ali-express_reviews,refund_return
Hjbihb Bjhbihb,1,app crash search,2026-03-08 04:26:43,0,ali-express_reviews,app_usability
Hazator,1,there no new suggestion u ever search click one product till haunt u forever recommendation everything related would thrower u even u interest,2026-03-08 04:26:35,1,ali-express_reviews,other
Pedram Rezaeian,1,app fraud unmatched price approved 38 end 48 shipping time take age charging 10 tax well third time definitely last time ordered something app ill make sure nobody else know make mistake unreliable unworthy time misleading price meanwhile put quality aside,2026-03-08 04:15:44,0,ali-express_reviews,delivery_shipping
Kim Barber,5,good far,2026-03-08 04:08:52,0,ali-express_reviews,other
Bennett Woodsum,2,mad said total 2 dollar charged 10 mad,2026-03-08 02:37:57,0,ali-express_reviews,other
Luis Arroyos,4,working great far,2026-03-08 02:12:34,0,ali-express_reviews,other
Davnar Ragnar,1,app either broken designed deliberately deceive customer spent time building bundle checked list went ahead purchase find item disappeared leaving 10 poorer quality item purchase price given 20 item no way trace transaction see itemised receipt purchase must deal ali express via website secure browser not install app,2026-03-08 02:01:10,0,ali-express_reviews,product_quality
Jasmine Morris,5,awesome,2026-03-08 01:32:57,0,ali-express_reviews,other
Roeleen Bloemhof,2,not spanish email come spanish annoying nothing happens following said,2026-03-08 00:34:54,0,ali-express_reviews,ads_promotions
Delislav Asparuhov,1,much notification spam,2026-03-07 21:51:08,1,ali-express_reviews,ads_promotions
Irina kalpacka,5,страхотно,2026-03-07 21:45:13,0,ali-express_reviews,other
Billy Pierce,1,no good,2026-03-07 20:57:37,0,ali-express_reviews,other
Juan Roldan,1,sucked many ad buggy super hard stop sending email everything take forever arrive also might find 5 dollar item 20 dollar shipping yeah kinda useless,2026-03-07 20:31:42,1,ali-express_reviews,delivery_shipping
Mairaj Aslam,2,high tax app without tax disappointed,2026-03-07 20:22:13,0,ali-express_reviews,pricing_discount
Andy Nisbet,1,massively reduce pointless animation nobody want there not necessary make using app endurance rather enjoyment,2026-03-07 18:45:13,1,ali-express_reviews,app_usability
Kandis Nikol Marek (BATMAN),2,all making app like temp done much like cant order want that done need anymore apps like temp temp suck done temp,2026-03-07 18:30:10,1,ali-express_reviews,app_usability
J R,3,great thing cheap thing suck delivery live building leave lobby floor anyone take not front door,2026-03-07 16:47:47,0,ali-express_reviews,delivery_shipping
parky,1,scammer refuse refund make shipping error uk sanity not choose locker delivery checkout instead tell very deliver locker send email otherwise aliexpress might send stuff different courier unable deliver eris locker unable get refund scammer edit contact help centre think live trying past week,2026-03-07 16:18:37,1,ali-express_reviews,delivery_shipping
Simon Jewry,1,rubbish scam app get burnt didst want give one star not able seems stupid no star,2026-03-07 16:13:24,1,ali-express_reviews,app_usability
FRITOSPORT,1,scammer fraud protect seller store never ship product provide fake tracking number senior team never help get refund item never delivered provide proof yet never help company doe n't honor 20day refund rule stay away thief,2026-03-07 15:46:25,1,ali-express_reviews,delivery_shipping
Adam,1,paid 3 90p deal delivery driver put bin without notice refunded 90p cant get anything im asking get bundledeal back,2026-03-07 15:29:54,0,ali-express_reviews,delivery_shipping
Marie Barrow,4,great app great product,2026-03-07 14:57:35,0,ali-express_reviews,app_usability
Nwaneri Chrisbless,1,delivery tracking process especially electronics gadget coming china terrible time even tracking update stop updating customer service know nothing you 'll dark week no information order whereabouts condition yeah understand delivery time varies but least fv ck in keep updated sometimes feel like uninstalling app stick temp,2026-03-07 13:45:51,0,ali-express_reviews,delivery_shipping
